Site,Catchment,MCI.Collection.Method,MCI.Collection.Method.2
Porangahau River at SH52 Opposite Quarry,Porangahau River,Macroinveretebrate protocol C3 - hard bottom,
Porangahau Stream at Oruawhara Road,Tukituki River,Macroinveretebrate protocol C3 - hard bottom,Macroinvertebrate protocol C4 - soft bottom
Porangahau Strm US Maharakeke Strm,Tukituki River,Macroinveretebrate protocol C3 - hard bottom,
Poukawa Stream at Stock Road,Clive River,Macroinvertebrate protocol C4 - soft bottom,
Poukawa Stream at Te Mahanga Road,Clive River,Macroinvertebrate protocol C4 - soft bottom,
Puhokio Stream at Te Apiti Rd,Minor Coastal,Macroinveretebrate protocol C3 - hard bottom,
Raupare Stream at Ormond Road,Clive River,Macroinvertebrate protocol C4 - soft bottom,
Reserve Stream U/S Whangawehi,Whangawehi Stream,,
Ripia River U/S Mohaka,Mohaka River,Macroinveretebrate protocol C3 - hard bottom,
Ruahapia Stream at Show Grounds,,,
Ruakituri River at Sports Ground,Wairoa River,Macroinveretebrate protocol C3 - hard bottom,
Sandy Creek U/S Lake Tutira Outlet,Aropaoanui River,Macroinveretebrate protocol C3 - hard bottom,Macroinvertebrate protocol C4 - soft bottom
Taharua Stream at Henrys Bridge,Mohaka River,Macroinvertebrate protocol C4 - soft bottom,Macroinveretebrate protocol C3 - hard bottom
Taharua Stream at Poronui Station,Mohaka River,,
Taharua Stream at Red Hut Mohaka Confl,Mohaka River,Macroinvertebrate protocol C4 - soft bottom,
Taharua Stream at Wairango Rd,Mohaka River,Macroinvertebrate protocol C4 - soft bottom,Macroinveretebrate protocol C3 - hard bottom
Taharua Stream at Wrights Twin Culvert,Mohaka River,Macroinvertebrate protocol C4 - soft bottom,Macroinveretebrate protocol C3 - hard bottom
Taipo Stream at Church Road,Napier,Macroinvertebrate protocol C4 - soft bottom,
Taruarau River at Taihape Road,Ngaruroro River,,
Taurekaitai Stream at Wallingford,Porangahau River,Macroinvertebrate protocol C4 - soft bottom,
Te Iringaowhare Stream at Tukurangi Road,,,
Te Kumi Stream at State Highway 38,,,
Te Ngarue Stream D/S Kotomangengi,Pacific Ocean,Macroinvertebrate protocol C4 - soft bottom,
Tuhara Stream at Iwitea Road,Whakaki lagoon,,
Tuhara Stream D/S Confluence,Whakaki lagoon,,
Tukipo River at State Highway 50,Tukituki River,Macroinveretebrate protocol C3 - hard bottom,
Tukipo River U/S Makaretu Confluence,Tukituki River,Macroinveretebrate protocol C3 - hard bottom,
Tukituki River at Ashcott Bridge S.H. 50,Tukituki River,,
Tukituki River at Black Bridge,Tukituki River,Macroinveretebrate protocol C3 - hard bottom,
Tukituki River at Red Bridge,Tukituki River,Macroinveretebrate protocol C3 - hard bottom,
Tukituki River at Tamumu Br.,Tukituki River,Macroinveretebrate protocol C3 - hard bottom,
Tukituki River at Tapairu Rd,Tukituki River,Macroinveretebrate protocol C3 - hard bottom,
Tukituki River at Waipuk Onga Road,Tukituki River,Macroinveretebrate protocol C3 - hard bottom,
Tukituki River at Waipukurau,Tukituki River,Macroinveretebrate protocol C3 - hard bottom,
Tutaekuri River at Brookfields Bridge,Tutaekuri River,Macroinveretebrate protocol C3 - hard bottom,
Tutaekuri River at Lawrence Hut,Tutaekuri River,Macroinveretebrate protocol C3 - hard bottom,
Tutaekuri River at Puketapu HBRC Site,Tutaekuri River,Macroinveretebrate protocol C3 - hard bottom,
Tutaekuri River U/S Mangaone,Tutaekuri River,Macroinveretebrate protocol C3 - hard bottom,
Tutaekuri Waimate Stm at Chesterhope,Ngaruroro River,Macroinvertebrate protocol C4 - soft bottom,
Waiarua at S.H.5,Mohaka River,Macroinveretebrate protocol C3 - hard bottom,Macroinvertebrate protocol C4 - soft bottom
Waiau River at Otoi,Wairoa River,Macroinveretebrate protocol C3 - hard bottom,
Waihua River at Waihua Valley Road,Waihua River,Macroinveretebrate protocol C3 - hard bottom,
Waikaretaheke River at Terapatiki,,,
Waikari River at Glenbrook Road,Waikari River,Macroinveretebrate protocol C3 - hard bottom,
Waikatuku Strm off Harrison Rd,Whakaki lagoon,,
Waikoau River at Waikoau Road,Aropaoanui River,Macroinveretebrate protocol C3 - hard bottom,
Waingongoro Stream at Waimarama Road,Waingongoro Stream,Macroinveretebrate protocol C3 - hard bottom,Macroinvertebrate protocol C4 - soft bottom
Waipawa River at RDS/SH2,Tukituki River,Macroinveretebrate protocol C3 - hard bottom,
Waipawa River at State Highway 50,Tukituki River,Macroinveretebrate protocol C3 - hard bottom,
Waipunga River at Runanga,Mohaka River,,
Wairoa River at Marumaru,Wairoa River,,
Wairoa River at Railway Br.,Wairoa River,Macroinvertebrate protocol C4 - soft bottom,
Waitio Stream at Ohiti Road,Ngaruroro River,Macroinveretebrate protocol C3 - hard bottom,Macroinvertebrate protocol C4 - soft bottom
Whangawehi Stream at George Ormonds,Whangawehi Stream,,
Whangawehi Stream at Pat OBrians,Whangawehi Stream,,
Whangawehi Stream D/S Cattleyards,Whangawehi Stream,,
Whangawehi Stream U/S Reserve Stream,Whangawehi Stream,,
